Times Sq-42 St        /42 St,"64,815,739",1
Grand Central-42 St,"44,928,488",2
34 St-Herald Square,"39,672,507",3
14 St-Union Sq,"34,557,551",4
Fulton St,"26,838,473",5
34 St-Penn Station,"26,034,238",6
34 St-Penn Station,"24,366,500",7
59 St-Columbus Circle,"22,929,203",8
Lexington Av-53 St  /51 St,"18,940,774",9
Flushing-Main St,"18,746,832",10
Lexington Av /59 St,"17,888,188",11
47-50 Sts-Rockefeller Center,"17,471,620",12
74-Bway /Jackson Hts-Roosevelt Av,"17,095,073",13
42 St-Bryant Pk    /5 Av,"16,594,289",14
Canal St,"16,285,516",15
14 St     /6 Av,"15,187,056",16
Chambers St  /WTC /Park Place,"14,825,863",17
86 St,"14,277,369",18
14 St   /8 Av,"14,153,266",19
West 4 St-Washington Sq,"13,849,130",20
Atlantic Av-Barclays Ctr,"13,571,093",21
Jay St-MetroTech,"13,007,176",22
72 St,"12,749,746",23
Broadway-Lafayette St    /Bleecker St,"11,956,465",24
96 St,"11,948,981",25
Jamaica Center-Parsons-Archer,"11,604,228",26
57 St-7 Av,"11,300,097",27
Court St /Borough Hall,"10,693,598",28
South Ferry /Whitehall St,"10,205,836",29
Bedford Av,"9,644,831",30
Brooklyn Bridge-City Hall /Chambers St,"9,360,484",31
125 St,"9,335,382",32
125 St,"9,088,393",33
Crown Heights-Utica Av,"8,954,499",34
33 St,"8,916,102",35
Forest Hills-71 Av,"8,748,221",36
23 St,"8,636,801",37
49 St,"8,626,669",38
161 St-Yankee Stadium,"8,596,506",39
72 St,"8,536,209",40
77 St,"8,276,168",41
23 St,"8,265,227",42
Bowling Green,"8,234,513",43
Delancey St /Essex St,"8,128,719",44
168 St,"7,945,871",45
Kew Gardens-Union Turnpike,"7,811,007",46
50 St,"7,751,756",47
145 St,"7,714,122",48
86 St,"7,693,260",49
Grand St,"7,653,408",50
23 St,"7,651,650",51
3 Av-149 St,"7,458,222",52
Sutphin Blvd-Archer Av-JFK Airport,"7,457,153",53
23 St,"7,410,618",54
Myrtle-Wyckoff Avs,"7,302,376",55
5 Av-53 St,"7,111,270",56
Junction Blvd,"7,084,849",57
1 Av,"7,071,729",58
Court Sq,"7,003,218",59
66 St-Lincoln Center,"7,002,620",60
68 St-Hunter College,"6,998,999",61
Wall St,"6,935,020",62
Woodhaven Blvd,"6,871,409",63
28 St,"6,836,061",64
50 St,"6,694,422",65
DeKalb Av,"6,551,184",66
103 St-Corona Plaza,"6,498,237",67
Jamaica-179 St,"6,463,698",68
Chambers St,"6,459,435",69
Lexington Av-63 St,"6,389,408",70
Flatbush Av-Brooklyn College,"6,107,780",71
Cortlandt St,"6,101,278",72
Kings Hwy,"6,040,256",73
86 St,"5,988,837",74
Canal St,"5,932,386",75
Nostrand Av,"5,823,419",76
Grand Av-Newtown,"5,792,378",77
Wall St,"5,704,122",78
96 St,"5,576,058",79
8 St-New York University,"5,569,352",80
90 St-Elmhurst Av,"5,460,868",81
Woodside-61 St,"5,457,171",82
Church Av,"5,455,527",83
96 St,"5,445,960",84
2 Av,"5,372,036",85
5 Av-59 St,"5,367,130",86
59 St,"5,326,789",87
Utica Av,"5,271,782",88
Astor Place,"5,245,449",89
7 Av,"5,105,535",90
79 St,"5,102,655",91
Parkchester,"5,071,740",92
116 St,"5,066,069",93
125 St,"5,054,479",94
Astoria-Ditmars Blvd,"5,031,462",95
82 St-Jackson Hts,"5,018,542",96
Lorimer St /Metropolitan Av,"5,010,601",97
63 Dr-Rego Park,"4,991,559",98
Prince St,"4,990,346",99
Vernon Blvd-Jackson Av,"4,821,191",100
Coney Island-Stillwell Av,"4,803,755",101
135 St,"4,768,474",102
